lat,long,n
36.055835,-94.164908,1
39.8119027,-94.812119,1
40.510742,-74.2398274,1
40.5118731,-74.2515647,1
40.5119347,-74.2513049,1
40.51674269999999,-74.2063995,1
40.5334003,-74.2105955,1
40.53469870000001,-74.1604433,1
40.5386924,-74.2228161,1
40.539802,-74.20882999999999,2
40.54038329999999,-74.13569799999999,1
40.5456859,-74.2163104,1
40.5471557,-74.2190904,1
40.547327,-74.214444,1
40.55081089999999,-74.150966,1
40.551663,-74.13452099999999,1
40.5524452,-74.1701488,1
40.5525329,-74.163901,1
40.5527516,-74.2189872,1
40.559317,-74.131102,1
40.559492,-74.1685392,2
40.5598153,-74.16648649999999,1
40.5623438,-74.15796879999999,1
40.5633613,-74.1854523,1
40.5640589,-74.0994606,1
40.5645183,-74.1841681,1
40.5658408,-74.1837209,1
40.5693376,-74.0923866,1
40.5700611,-74.1949685,1
40.5709205,-74.1456038,1
40.5720426,-74.1087865,1
40.5724047,-73.9942277,1
40.5725988,-74.08891179999999,1
40.5732652,-73.9909406,1
40.573402,-74.12837739999999,1
40.5735011,-74.11420059999999,1
40.5739913,-73.9904895,1
40.5742632,-73.9748754,1
40.5743841,-73.99112939999999,1
40.5745397,-73.95281270000001,1
40.5751561,-73.99228699999999,1
40.5752502,-73.96803469999999,1
40.575405,-73.96212330000002,1
40.5756788,-73.99331649999999,1
40.57600840000001,-73.9616521,2
40.5761044,-74.0060041,1
40.5761395,-74.1662724,1
40.5762715,-73.9860102,1
40.5765086,-74.10179959999999,1
40.5778587,-74.00841419999999,1
40.5780704,-73.9596565,1
40.5784025,-74.004053,1
40.5787755,-73.9571521,1
40.5793568,-73.8361398,1
40.5795317,-74.1502007,27
40.5796893,-73.8362125,1
40.5809834,-73.8427239,2
40.5817795,-74.1588842,1
40.5829633,-73.82604030000002,1
40.5830796,-73.9579266,1
40.583293,-73.9209991,1
40.5837309,-73.9535339,1
40.5837859,-73.8153617,1
40.584227,-73.9406721,1
40.5848524,-74.0976036,1
40.584864,-73.817098,1
40.58495,-73.8175459,1
40.5852091,-74.16265609999999,1
40.585423,-73.93150299999999,1
40.5855408,-73.8095453,1
40.5856599,-73.8172822,1
40.58582759999999,-74.1614525,1
40.5862135,-73.95236489999999,2
40.5870033,-73.9227554,2
40.587469,-74.0986346,1
40.5877084,-73.946221,4
40.58851629999999,-73.8106732,1
40.5886991,-73.809846,1
40.5890004,-74.1677108,1
40.5896608,-74.1628286,1
40.5904716,-73.96234419999999,1
40.591375,-74.162859,1
40.5919782,-74.1624124,3
40.5921204,-74.0814487,1
40.592154,-73.7889486,1
40.592233,-74.07335499999999,1
40.5925292,-73.9445927,1
40.5925865,-74.06843959999999,1
40.5926013,-73.9254534,3
40.5942083,-74.0625998,1
40.5944566,-73.75271,1
40.594708,-73.9399524,1
40.59507809999999,-74.13039859999999,1
40.5952808,-73.7937026,1
40.5953031,-74.06500919999999,2
40.5958321,-73.9356007,1
40.5961804,-73.7734601,1
40.5970965,-73.9647516,1
40.597107,-73.7879633,1
40.59716239999999,-73.7699952,1
40.597676,-73.99779099999999,1
40.5985588,-73.7574618,1
40.598899,-73.9408845,1
40.599056,-73.7691138,1
40.5992566,-73.757071,7
40.59946790000001,-73.7618536,1
40.59974,-73.950301,2
40.6004886,-73.74803849999999,1
40.6006478,-74.138195,1
40.6013438,-73.8230214,1
40.60139789999999,-73.99179509999999,1
40.6017229,-73.7497623,1
40.6020018,-73.9912097,2
40.6024826,-73.748728,5
40.602749,-73.757009,2
40.60304,-73.759092,1
40.6043863,-74.16484679999999,1
40.6045491,-73.8984698,2
40.6051222,-73.8195131,1
40.6052493,-73.7545991,1
40.6052689,-74.1180126,1
40.6056359,-73.75808599999999,1
40.6056632,-73.8713099,1
40.6059286,-73.98147060000001,1
40.605999,-73.94126700000001,1
40.6063432,-73.96154,1
40.6064072,-73.92354569999999,2
40.606567,-74.091022,1
40.6066162,-74.0446602,3
40.6069901,-74.06705819999999,1
40.6076447,-73.9455227,1
40.608045,-73.759469,1
40.6084723,-73.7492039,1
40.6085834,-73.9566601,1
40.6087769,-74.0821955,1
40.6088771,-73.7497628,3
40.6088909,-73.9447649,1
40.6093481,-74.15634229999999,1
40.610021,-73.758612,1
40.6100471,-73.92004969999999,2
40.6101919,-74.1286985,1
40.610297,-73.991376,3
40.6105691,-74.0756218,1
40.6112084,-73.9236583,1
40.6113487,-74.15693420000001,1
40.6113817,-73.93318649999999,1
40.61155,-74.0102619,1
40.6119894,-74.0830215,1
40.6124962,-73.95740459999999,1
40.6125971,-73.94505199999999,1
40.613017,-74.104426,1
40.6139727,-74.16101669999999,1
40.6143993,-74.03019019999999,1
40.6147772,-74.1169567,1
40.6152774,-74.0833542,2
40.615474,-73.90299399999999,1
40.61581959999999,-74.0088012,1
40.61629629999999,-73.9299059,1
40.616402,-74.089663,3
40.6167972,-73.9697106,1
40.6170251,-73.9095093,1
40.6170297,-74.0654029,2
40.6171802,-73.90952109999999,1
40.61719,-74.0219709,1
40.6181265,-73.9474858,1
40.6185036,-73.9855511,4
40.6185676,-74.0327494,1
40.6187267,-73.9570143,1
40.6189645,-73.906106,1
40.619121,-73.9951581,1
40.61936,-74.079042,1
40.6198539,-74.00031299999999,1
40.6201155,-73.9282322,2
40.6203344,-73.89756799999999,1
40.6204844,-74.0000807,1
40.62085039999999,-74.07706619999999,1
40.6214334,-73.9033501,1
40.6226268,-73.9478532,1
40.624071,-74.016344,1
40.6242904,-74.0201147,1
40.6243381,-74.1510971,1
40.6244777,-74.0806123,1
40.6250519,-73.944868,1
40.6250856,-74.0046957,1
40.62557899999999,-73.921443,1
40.625873,-73.956876,4
40.6259747,-74.09164849999999,1
40.625999,-73.94898599999999,1
40.6260828,-73.9205752,2
40.6261461,-74.166544,1
40.6261775,-74.08210369999999,1
40.6271485,-73.940896,1
40.6271738,-74.0908225,1
40.627593,-74.012907,1
40.627792,-73.90222,1
40.62852,-73.9260989,1
40.6289743,-73.9347762,1
40.6291039,-74.1175957,1
40.6293079,-73.9436393,2
40.6293707,-74.15566129999999,1
40.629782,-73.92750199999999,1
40.63018230000001,-73.9416056,2
40.630297,-74.118651,1
40.6305464,-73.96697859999999,1
40.6307425,-74.1166397,1
40.6312176,-74.0839622,1
40.6315,-73.908102,1
40.6316302,-74.0937053,1
40.63196,-73.9343518,1
40.6319856,-73.8864628,1
40.6322117,-73.97448589999999,2
40.63232800000001,-73.9338811,1
40.6324696,-73.9102398,1
40.6324771,-73.959471,1
40.632783,-73.974064,1
40.632866,-73.93874900000002,1
40.6329166,-73.9415504,1
40.6329693,-73.9380702,1
40.6330077,-73.9835162,1
40.6331372,-74.0007131,2
